date,sku_id,region,units_ordered,price_usd,holiday_peak_flag,prime_event_flag,marketing_push_flag,weather_disruption_index,year,month,quarter,week_number,day_of_week,year_week,is_weekend
2024-10-13,SKU-100099,North,45.0,201.16,0,0,0,2.2,2024,10,4,41,6,2024-W41,1
2024-07-16,SKU-100100,East,69.0,169.53,0,1,0,0.87,2024,7,3,29,1,2024-W29,0
2024-12-03,SKU-100101,West,27.0,194.75,1,0,0,1.45,2024,12,4,49,1,2024-W49,0
2025-01-03,SKU-100102,North,26.0,131.99,1,0,0,1.68,2025,1,1,1,4,2025-W01,0
2024-12-23,SKU-100103,South,33.0,163.88,1,0,0,-2.9,2024,12,4,52,0,2024-W52,0
2025-06-25,SKU-100104,East,41.0,148.9,0,0,0,0.18,2025,6,2,26,2,2025-W26,0
2024-11-22,SKU-100105,North,53.0,42.73,1,0,0,-0.28,2024,11,4,47,4,2024-W47,0
2024-12-05,SKU-100106,North,28.0,124.65,1,0,0,-0.89,2024,12,4,49,3,2024-W49,0
2024-12-07,SKU-100107,South,52.0,79.25,1,0,0,0.22,2024,12,4,49,5,2024-W49,1
2025-03-10,SKU-100108,South,33.0,158.47,0,0,0,0.06,2025,3,1,11,0,2025-W11,0
2025-04-27,SKU-100109,North,32.0,154.4,0,0,0,-0.55,2025,4,2,17,6,2025-W17,1
2024-12-03,SKU-100110,South,44.0,163.52,1,0,0,1.45,2024,12,4,49,1,2024-W49,0
2024-09-11,SKU-100111,South,40.0,79.28,0,0,0,-3.5,2024,9,3,37,2,2024-W37,0
2024-08-22,SKU-100112,West,31.0,74.61,0,0,0,1.28,2024,8,3,34,3,2024-W34,0
2025-01-23,SKU-100113,South,29.0,103.72,0,0,0,2.23,2025,1,1,4,3,2025-W04,0
2025-03-31,SKU-100114,North,83.0,187.94,0,0,1,-0.59,2025,3,1,14,0,2025-W14,0
2025-03-24,SKU-100115,East,89.0,153.71,0,0,0,0.1,2025,3,1,13,0,2025-W13,0
2025-05-09,SKU-100116,East,31.0,148.66,0,0,0,-1.05,2025,5,2,19,4,2025-W19,0
2025-06-16,SKU-100117,West,31.0,190.15,0,0,0,-0.44,2025,6,2,25,0,2025-W25,0
2024-09-28,SKU-100118,North,30.0,129.07,0,0,0,-0.97,2024,9,3,39,5,2024-W39,1
2024-08-05,SKU-100119,North,46.0,40.92,0,0,0,-0.44,2024,8,3,32,0,2024-W32,0
2025-01-19,SKU-100120,East,39.0,32.23,0,0,0,-1.56,2025,1,1,3,6,2025-W03,1
2024-12-03,SKU-100121,West,33.0,81.95,1,0,1,1.25,2024,12,4,49,1,2024-W49,0
2025-05-04,SKU-100122,West,36.0,146.05,0,0,1,-0.04,2025,5,2,18,6,2025-W18,1
2024-08-23,SKU-100123,West,34.0,133.18,0,0,0,1.28,2024,8,3,34,4,2024-W34,0
2025-01-17,SKU-100124,South,28.0,131.63,0,0,0,-0.02,2025,1,1,3,4,2025-W03,0
2025-02-16,SKU-100125,North,63.0,78.83,0,0,0,0.39,2025,2,1,7,6,2025-W07,1
2025-01-30,SKU-100126,North,49.0,165.67,0,0,0,0.17,2025,1,1,5,3,2025-W05,0
2024-08-08,SKU-100127,West,54.0,196.23,0,0,0,0.35,2024,8,3,32,3,2024-W32,0
2025-06-16,SKU-100128,North,37.0,194.99,0,0,0,-1.73,2025,6,2,25,0,2025-W25,0
2024-07-29,SKU-100129,East,57.0,169.01,0,1,0,-0.09,2024,7,3,31,0,2024-W31,0
2025-05-31,SKU-100130,West,50.0,198.6,0,0,0,-0.09,2025,5,2,22,5,2025-W22,1
2024-09-10,SKU-100131,West,26.0,132.35,0,0,0,0.75,2024,9,3,37,1,2024-W37,0
2024-07-13,SKU-100132,West,35.0,185.56,0,1,0,-0.29,2024,7,3,28,5,2024-W28,1
2025-04-22,SKU-100133,South,54.0,151.88,0,0,0,-1.57,2025,4,2,17,1,2025-W17,0
2024-07-21,SKU-100134,East,60.0,185.25,0,1,0,0.21,2024,7,3,29,6,2024-W29,1
2024-09-16,SKU-100135,West,40.0,190.5,0,0,0,1.38,2024,9,3,38,0,2024-W38,0
2025-05-27,SKU-100136,South,59.0,97.51,0,0,0,1.24,2025,5,2,22,1,2025-W22,0
2025-01-30,SKU-100137,North,55.0,123.21,0,0,0,0.17,2025,1,1,5,3,2025-W05,0
2025-05-02,SKU-100138,East,49.0,125.08,0,0,0,-0.41,2025,5,2,18,4,2025-W18,0
2024-07-26,SKU-100139,South,32.0,125.65,0,1,0,-0.34,2024,7,3,30,4,2024-W30,0
2025-01-12,SKU-100140,North,48.0,200.3,0,0,0,0.39,2025,1,1,2,6,2025-W02,1
2024-10-10,SKU-100141,East,33.0,148.57,0,0,0,-0.23,2024,10,4,41,3,2024-W41,0
2024-07-20,SKU-100142,West,40.0,160.72,0,1,0,-0.84,2024,7,3,29,5,2024-W29,1
2024-12-24,SKU-100143,South,24.0,189.33,1,0,0,-2.9,2024,12,4,52,1,2024-W52,0
2025-05-09,SKU-100144,West,35.0,80.48,0,0,0,-0.31,2025,5,2,19,4,2025-W19,0
2025-05-12,SKU-100145,South,31.0,177.6,0,0,0,2.05,2025,5,2,20,0,2025-W20,0
2024-11-01,SKU-100146,South,49.0,189.83,0,0,0,-0.18,2024,11,4,44,4,2024-W44,0
2024-11-12,SKU-100147,East,57.0,31.8,1,0,0,0.88,2024,11,4,46,1,2024-W46,0
2025-01-06,SKU-100148,North,26.0,127.4,1,0,0,1.68,2025,1,1,2,0,2025-W02,0
2025-06-13,SKU-100149,North,39.0,130.14,0,0,0,-0.16,2025,6,2,24,4,2025-W24,0
2025-05-18,SKU-100150,East,42.0,32.02,0,0,0,0.64,2025,5,2,20,6,2025-W20,1
2025-04-21,SKU-100151,North,41.0,123.27,0,0,0,-0.61,2025,4,2,17,0,2025-W17,0
2024-08-04,SKU-100152,East,26.0,109.24,0,1,0,1.24,2024,8,3,31,6,2024-W31,1
2025-03-31,SKU-100153,West,73.0,80.85,0,0,0,1.23,2025,3,1,14,0,2025-W14,0
2025-06-06,SKU-100154,East,55.0,157.35,0,0,0,1.1,2025,6,2,23,4,2025-W23,0
2024-10-16,SKU-100155,South,29.0,97.78,0,0,0,-0.91,2024,10,4,42,2,2024-W42,0
2025-04-30,SKU-100156,South,42.0,79.68,0,0,0,1.47,2025,4,2,18,2,2025-W18,0
2025-06-16,SKU-100157,East,32.0,123.02,0,0,0,-0.03,2025,6,2,25,0,2025-W25,0
2024-07-23,SKU-100158,West,31.0,80.35,0,1,0,1.8,2024,7,3,30,1,2024-W30,0
2025-01-23,SKU-100159,West,32.0,159.94,0,0,0,1.58,2025,1,1,4,3,2025-W04,0
2025-01-01,SKU-100160,West,45.0,76.85,1,0,0,-0.27,2025,1,1,1,2,2025-W01,0
2024-09-30,SKU-100161,East,40.0,161.58,0,0,0,-0.97,2024,9,3,40,0,2024-W40,0
2024-12-18,SKU-100162,North,60.0,159.42,1,0,0,-0.82,2024,12,4,51,2,2024-W51,0
2024-12-04,SKU-100163,East,69.0,41.58,1,0,1,1.25,2024,12,4,49,2,2024-W49,0
2025-02-08,SKU-100164,South,33.0,30.24,0,0,0,0.13,2025,2,1,6,5,2025-W06,1
2025-05-08,SKU-100165,North,25.0,128.67,0,0,0,-0.03,2025,5,2,19,3,2025-W19,0
2025-04-05,SKU-100166,East,90.0,73.42,0,0,0,-0.36,2025,4,2,14,5,2025-W14,1
2024-08-17,SKU-100167,North,35.0,111.51,0,0,0,-0.15,2024,8,3,33,5,2024-W33,1
2024-10-31,SKU-100168,North,46.0,198.27,0,0,0,0.14,2024,10,4,44,3,2024-W44,0
2025-04-06,SKU-100169,West,36.0,80.26,0,0,0,-0.36,2025,4,2,14,6,2025-W14,1
2025-02-26,SKU-100170,North,39.0,165.11,0,0,0,-0.47,2025,2,1,9,2,2025-W09,0
2024-08-24,SKU-100171,South,18.0,130.6,0,0,0,0.21,2024,8,3,34,5,2024-W34,1
2024-10-26,SKU-100172,East,59.0,168.64,0,0,0,0.84,2024,10,4,43,5,2024-W43,1
2025-02-23,SKU-100173,West,46.0,107.31,0,0,1,0.41,2025,2,1,8,6,2025-W08,1
2025-05-10,SKU-100174,North,36.0,85.92,0,0,0,-0.31,2025,5,2,19,5,2025-W19,1
2025-06-25,SKU-100175,North,48.0,186.97,0,0,0,0.04,2025,6,2,26,2,2025-W26,0
2024-12-21,SKU-100176,South,54.0,98.01,1,0,0,-0.87,2024,12,4,51,5,2024-W51,1
2025-01-29,SKU-100177,South,56.0,100.69,0,0,0,-0.43,2025,1,1,5,2,2025-W05,0
2025-05-31,SKU-100178,West,34.0,183.95,0,0,0,1.89,2025,5,2,22,5,2025-W22,1
2024-07-12,SKU-100179,West,43.0,82.5,0,1,0,-0.31,2024,7,3,28,4,2024-W28,0
2025-03-07,SKU-100180,West,38.0,32.51,0,0,0,0.07,2025,3,1,10,4,2025-W10,0
2024-12-09,SKU-100181,North,30.0,100.95,1,0,0,-0.68,2024,12,4,50,0,2024-W50,0
2024-11-02,SKU-100182,East,49.0,185.43,0,0,0,-0.18,2024,11,4,44,5,2024-W44,1
2024-11-11,SKU-100183,East,33.0,154.93,1,0,0,1.48,2024,11,4,46,0,2024-W46,0
2025-02-21,SKU-100184,West,68.0,44.84,0,0,0,0.58,2025,2,1,8,4,2025-W08,0
2024-09-16,SKU-100185,North,35.0,33.22,0,0,0,-0.27,2024,9,3,38,0,2024-W38,0
2025-04-13,SKU-100186,South,69.0,186.8,0,0,0,-1.75,2025,4,2,15,6,2025-W15,1
2024-10-17,SKU-100187,West,32.0,158.78,0,0,0,-0.91,2024,10,4,42,3,2024-W42,0
2025-06-15,SKU-100188,North,34.0,128.04,0,0,0,-0.97,2025,6,2,24,6,2025-W24,1
2025-01-10,SKU-100189,East,22.0,146.96,0,0,0,1.24,2025,1,1,2,4,2025-W02,0
2025-02-03,SKU-100190,South,69.0,74.56,0,0,0,-0.84,2025,2,1,6,0,2025-W06,0
2024-07-27,SKU-100191,South,37.0,151.58,0,1,0,0.17,2024,7,3,30,5,2024-W30,1
2025-05-17,SKU-100192,South,49.0,191.89,0,0,0,-1.69,2025,5,2,20,5,2025-W20,1
2025-05-08,SKU-100193,South,59.0,42.57,0,0,0,-0.43,2025,5,2,19,3,2025-W19,0
2024-12-22,SKU-100194,East,39.0,193.22,1,0,0,-0.87,2024,12,4,51,6,2024-W51,1
2024-09-19,SKU-100195,West,23.0,102.97,0,0,0,1.38,2024,9,3,38,3,2024-W38,0
2024-07-16,SKU-100196,North,61.0,75.23,0,1,0,-0.29,2024,7,3,29,1,2024-W29,0
2024-09-01,SKU-100197,South,42.0,34.12,0,0,0,1.94,2024,9,3,35,6,2024-W35,1
2024-08-28,SKU-100198,South,18.0,110.14,0,0,0,0.42,2024,8,3,35,2,2024-W35,0
2025-01-21,SKU-100199,East,49.0,73.26,0,0,0,0.08,2025,1,1,4,1,2025-W04,0
2025-04-02,SKU-100200,East,47.0,175.24,0,0,0,1.23,2025,4,2,14,2,2025-W14,0
2024-09-11,SKU-100201,North,39.0,34.07,0,0,0,0.06,2024,9,3,37,2,2024-W37,0
2025-05-31,SKU-100202,North,62.0,77.8,0,0,0,1.37,2025,5,2,22,5,2025-W22,1
2024-08-23,SKU-100203,East,23.0,193.34,0,0,0,-1.8,2024,8,3,34,4,2024-W34,0
2024-08-07,SKU-100204,West,56.0,42.04,0,1,0,-1.09,2024,8,3,32,2,2024-W32,0
2024-10-27,SKU-100205,North,48.0,160.28,0,0,0,0.84,2024,10,4,43,6,2024-W43,1
2025-06-27,SKU-100206,West,26.0,178.05,0,0,0,-0.8,2025,6,2,26,4,2025-W26,0
2025-05-20,SKU-100207,North,47.0,124.5,0,0,0,0.64,2025,5,2,21,1,2025-W21,0
2024-10-14,SKU-100208,West,32.0,151.55,0,0,0,-1.28,2024,10,4,42,0,2024-W42,0
2024-10-20,SKU-100209,East,46.0,185.18,0,0,0,-0.49,2024,10,4,42,6,2024-W42,1
2025-04-04,SKU-100210,East,33.0,130.17,0,0,1,-0.59,2025,4,2,14,4,2025-W14,0
2024-12-13,SKU-100211,East,30.0,121.95,1,0,0,0.39,2024,12,4,50,4,2024-W50,0
2025-06-27,SKU-100212,South,33.0,127.94,0,0,0,-0.8,2025,6,2,26,4,2025-W26,0
2024-07-14,SKU-100213,East,59.0,185.41,0,1,0,0.31,2024,7,3,28,6,2024-W28,1
2024-07-16,SKU-100214,North,48.0,33.52,0,1,0,-0.29,2024,7,3,29,1,2024-W29,0
2024-09-06,SKU-100215,North,34.0,152.61,0,0,0,1.3,2024,9,3,36,4,2024-W36,0
2025-01-25,SKU-100216,South,54.0,156.62,0,0,0,1.21,2025,1,1,4,5,2025-W04,1
2024-11-22,SKU-100217,East,42.0,34.59,1,0,0,-0.46,2024,11,4,47,4,2024-W47,0
2024-11-25,SKU-100218,North,38.0,123.75,1,0,0,-1.1,2024,11,4,48,0,2024-W48,0
2025-05-30,SKU-100219,North,25.0,146.99,0,0,0,-0.39,2025,5,2,22,4,2025-W22,0
2024-11-13,SKU-100220,South,30.0,179.94,1,0,0,1.48,2024,11,4,46,2,2024-W46,0
2025-04-02,SKU-100221,West,29.0,83.11,0,0,0,-1.3,2025,4,2,14,2,2025-W14,0
2025-06-21,SKU-100222,West,46.0,123.79,0,0,0,-0.44,2025,6,2,25,5,2025-W25,1
2025-06-30,SKU-100223,West,56.0,43.11,0,0,0,0.18,2025,6,2,27,0,2025-W27,0
2025-04-04,SKU-100224,East,32.0,156.02,0,0,0,-0.39,2025,4,2,14,4,2025-W14,0
2025-06-19,SKU-100225,West,30.0,154.81,0,0,0,-0.03,2025,6,2,25,3,2025-W25,0
2024-08-16,SKU-100226,North,40.0,150.29,0,0,1,0.35,2024,8,3,33,4,2024-W33,0
2025-05-25,SKU-100227,North,59.0,191.3,0,0,0,-0.52,2025,5,2,21,6,2025-W21,1
2024-12-02,SKU-100228,North,43.0,32.23,1,0,0,-1.22,2024,12,4,49,0,2024-W49,0
2025-05-28,SKU-100229,South,24.0,133.72,0,0,0,-0.15,2025,5,2,22,2,2025-W22,0
2025-02-24,SKU-100230,East,86.0,80.04,0,0,0,0.71,2025,2,1,9,0,2025-W09,0
2025-05-18,SKU-100231,East,51.0,189.15,0,0,0,-1.69,2025,5,2,20,6,2025-W20,1
2025-06-22,SKU-100232,South,22.0,126.26,0,0,0,-0.7,2025,6,2,25,6,2025-W25,1
2024-12-08,SKU-100233,North,52.0,159.78,1,0,0,1.45,2024,12,4,49,6,2024-W49,1
2025-03-12,SKU-100234,South,62.0,160.59,0,0,0,0.24,2025,3,1,11,2,2025-W11,0
2025-06-06,SKU-100235,West,46.0,32.75,0,0,0,0.14,2025,6,2,23,4,2025-W23,0
2025-03-17,SKU-100236,West,16.0,137.11,0,0,0,-0.21,2025,3,1,12,0,2025-W12,0
2024-12-29,SKU-100237,East,56.0,167.02,1,0,0,-0.56,2024,12,4,52,6,2024-W52,1
2025-06-02,SKU-100238,North,37.0,88.21,0,0,0,1.89,2025,6,2,23,0,2025-W23,0
2025-03-01,SKU-100239,West,50.0,31.79,0,0,0,1.45,2025,3,1,9,5,2025-W09,1
2025-03-11,SKU-100240,West,44.0,165.88,0,0,0,0.95,2025,3,1,11,1,2025-W11,0
2024-12-02,SKU-100241,East,28.0,137.19,1,0,0,0.37,2024,12,4,49,0,2024-W49,0
2025-05-07,SKU-100242,South,48.0,196.39,0,0,0,-0.41,2025,5,2,19,2,2025-W19,0
2025-04-27,SKU-100243,South,45.0,31.77,0,0,0,-1.57,2025,4,2,17,6,2025-W17,1
2024-08-08,SKU-100244,West,64.0,77.96,0,1,0,1.24,2024,8,3,32,3,2024-W32,0
2025-02-26,SKU-100245,South,39.0,145.75,0,0,1,0.41,2025,2,1,9,2,2025-W09,0
2024-11-10,SKU-100246,East,29.0,180.94,0,0,0,-0.4,2024,11,4,45,6,2024-W45,1
2024-12-16,SKU-100247,North,25.0,122.66,1,0,0,0.0,2024,12,4,51,0,2024-W51,0
2025-06-19,SKU-100248,West,29.0,126.84,0,0,0,0.31,2025,6,2,25,3,2025-W25,0
2024-10-07,SKU-100249,North,26.0,127.0,0,0,0,0.54,2024,10,4,41,0,2024-W41,0
2025-06-23,SKU-100250,North,40.0,165.43,0,0,0,-0.7,2025,6,2,26,0,2025-W26,0
2025-05-29,SKU-100251,North,55.0,186.53,0,0,0,-0.15,2025,5,2,22,3,2025-W22,0
2025-03-19,SKU-100252,South,42.0,120.68,0,0,0,1.44,2025,3,1,12,2,2025-W12,0
2024-09-18,SKU-100253,East,53.0,154.82,0,0,0,0.28,2024,9,3,38,2,2024-W38,0
2025-02-10,SKU-100254,East,35.0,157.89,0,0,1,-1.33,2025,2,1,7,0,2025-W07,0
2024-11-01,SKU-100255,South,36.0,192.31,0,0,0,2.26,2024,11,4,44,4,2024-W44,0
2025-05-29,SKU-100256,South,34.0,174.92,0,0,0,-0.15,2025,5,2,22,3,2025-W22,0
2025-04-30,SKU-100257,South,58.0,199.33,0,0,0,-0.51,2025,4,2,18,2,2025-W18,0
