date,sku_id,region,category,units_ordered,transaction_price_usd,holiday_peak_flag,prime_event_flag,marketing_push_flag,weather_disruption_index,year,month,quarter,week_number,day_of_week,year_week,is_weekend,unit_cost_usd,selling_price_usd,gross_margin_usd,margin_pct,cube_ft,volume_m3,target_service_level,stockout_penalty_usd,holding_cost_daily_usd,home_warehouse_id,home_wh_capacity,home_wh_fixed_cost_usd,home_ship_cost_usd,home_lead_time_days,home_carbon_kg_per_unit,home_lane_efficiency
2024-08-23,SKU-100030,West,KITCHEN,31.0,32.39,0,0,0,0.2,2024,8,3,34,4,2024-W34,0,30.06,129.52,99.46,0.767912,0.22,0.00623,0.931,259.04,0.020589,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-01-24,SKU-100031,East,TOYS,49.0,122.76,0,0,0,-1.23,2025,1,1,4,4,2025-W04,0,119.1,158.8,39.7,0.25,0.61,0.017273,0.973,317.6,0.081575,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-02-02,SKU-100032,North,PET,67.0,155.03,0,0,0,0.48,2025,2,1,5,6,2025-W05,1,39.01,44.01,5.0,0.113611,0.77,0.021804,0.983,88.02,0.026719,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-08-27,SKU-100033,North,ELECTRONICS,43.0,43.41,0,0,0,1.1,2024,8,3,35,1,2024-W35,0,54.03,86.74,32.71,0.377104,0.58,0.016424,0.976,173.48,0.037007,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-05-23,SKU-100034,East,PET,64.0,148.03,0,0,0,1.24,2025,5,2,21,4,2025-W21,0,119.39,197.26,77.87,0.394758,0.68,0.019256,0.987,394.52,0.081774,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-11-24,SKU-100035,North,HOME,46.0,192.38,1,0,0,-1.22,2024,11,4,47,6,2024-W47,1,85.74,189.02,103.28,0.546397,1.49,0.042192,0.954,378.04,0.058726,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-08-14,SKU-100036,East,ELECTRONICS,35.0,175.8,0,0,0,0.31,2024,8,3,33,2,2024-W33,0,50.98,190.65,139.67,0.732599,0.55,0.015574,0.959,381.3,0.034918,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-05-21,SKU-100037,East,TOYS,49.0,190.62,0,0,0,-0.6,2025,5,2,21,2,2025-W21,0,14.98,175.66,160.68,0.914722,1.79,0.050687,0.972,351.32,0.01026,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-09-24,SKU-100038,South,TOYS,30.0,126.36,0,0,0,-2.01,2024,9,3,39,1,2024-W39,0,22.32,198.29,175.97,0.887438,0.86,0.024353,0.968,396.58,0.015288,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-03-23,SKU-100039,West,BEAUTY,49.0,164.66,0,0,0,0.04,2025,3,1,12,6,2025-W12,1,61.85,78.7,16.85,0.214104,0.76,0.021521,0.931,157.4,0.042363,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-05-02,SKU-100040,West,ELECTRONICS,59.0,44.7,0,0,0,0.48,2025,5,2,18,4,2025-W18,0,112.48,134.55,22.07,0.164028,0.33,0.009345,0.966,269.1,0.077041,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-01-12,SKU-100041,East,HOME,71.0,188.06,0,0,0,0.59,2025,1,1,2,6,2025-W02,1,118.88,33.69,-85.19,-2.528644,0.21,0.005947,0.975,67.38,0.081425,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-10-23,SKU-100042,East,ELECTRONICS,22.0,123.57,0,0,0,2.26,2024,10,4,43,2,2024-W43,0,82.88,157.93,75.05,0.475211,0.66,0.018689,0.952,315.86,0.056767,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-07-05,SKU-100043,East,KITCHEN,33.0,188.31,0,1,0,0.39,2024,7,3,27,4,2024-W27,0,40.39,32.87,-7.52,-0.22878,0.64,0.018123,0.972,65.74,0.027664,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-04-27,SKU-100044,East,ELECTRONICS,32.0,83.89,0,0,0,-0.11,2025,4,2,17,6,2025-W17,1,96.37,130.18,33.81,0.259717,0.12,0.003398,0.949,260.36,0.066007,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-06-10,SKU-100045,East,ELECTRONICS,31.0,132.46,0,0,0,0.31,2025,6,2,24,1,2025-W24,0,47.52,108.9,61.38,0.563636,0.08,0.002265,0.975,217.8,0.032548,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-09-13,SKU-100046,East,PET,61.0,74.98,0,0,0,-0.94,2024,9,3,37,4,2024-W37,0,68.29,97.95,29.66,0.302808,0.38,0.01076,0.978,195.9,0.046774,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-12-15,SKU-100047,North,KITCHEN,79.0,73.91,1,0,0,-0.87,2024,12,4,50,6,2024-W50,1,38.64,161.51,122.87,0.760758,0.29,0.008212,0.933,323.02,0.026466,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-01-04,SKU-100048,South,KITCHEN,37.0,175.66,0,0,0,0.22,2025,1,1,1,5,2025-W01,1,30.06,129.52,99.46,0.767912,0.22,0.00623,0.931,259.04,0.020589,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-01-16,SKU-100049,East,TOYS,40.0,165.47,0,0,0,-1.56,2025,1,1,3,3,2025-W03,0,119.1,158.8,39.7,0.25,0.61,0.017273,0.973,317.6,0.081575,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-04-11,SKU-100050,South,PET,23.0,83.52,0,0,0,1.55,2025,4,2,15,4,2025-W15,0,39.01,44.01,5.0,0.113611,0.77,0.021804,0.983,88.02,0.026719,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-10-05,SKU-100051,North,ELECTRONICS,29.0,197.11,0,0,0,1.31,2024,10,4,40,5,2024-W40,1,54.03,86.74,32.71,0.377104,0.58,0.016424,0.976,173.48,0.037007,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-10-26,SKU-100052,West,PET,49.0,42.88,0,0,0,0.14,2024,10,4,43,5,2024-W43,1,119.39,197.26,77.87,0.394758,0.68,0.019256,0.987,394.52,0.081774,WH-WEST,110000,1680,1.5,1,0.0,1.0
2024-07-25,SKU-100053,South,HOME,30.0,160.14,0,1,1,1.77,2024,7,3,30,3,2024-W30,0,85.74,189.02,103.28,0.546397,1.49,0.042192,0.954,378.04,0.058726,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-02-07,SKU-100054,North,ELECTRONICS,37.0,157.85,0,0,0,1.67,2025,2,1,6,4,2025-W06,0,50.98,190.65,139.67,0.732599,0.55,0.015574,0.959,381.3,0.034918,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-12-08,SKU-100055,East,TOYS,44.0,99.76,1,0,0,0.0,2024,12,4,49,6,2024-W49,1,14.98,175.66,160.68,0.914722,1.79,0.050687,0.972,351.32,0.01026,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-12-23,SKU-100056,West,TOYS,43.0,31.34,1,0,0,0.55,2024,12,4,52,0,2024-W52,0,22.32,198.29,175.97,0.887438,0.86,0.024353,0.968,396.58,0.015288,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-02-25,SKU-100057,South,BEAUTY,82.0,80.56,0,0,0,0.42,2025,2,1,9,1,2025-W09,0,61.85,78.7,16.85,0.214104,0.76,0.021521,0.931,157.4,0.042363,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-06-18,SKU-100058,East,ELECTRONICS,79.0,76.63,0,0,1,0.11,2025,6,2,25,2,2025-W25,0,112.48,134.55,22.07,0.164028,0.33,0.009345,0.966,269.1,0.077041,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-04-08,SKU-100059,West,HOME,28.0,156.91,0,0,0,-1.75,2025,4,2,15,1,2025-W15,0,118.88,33.69,-85.19,-2.528644,0.21,0.005947,0.975,67.38,0.081425,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-06-13,SKU-100060,North,ELECTRONICS,64.0,162.26,0,0,0,-1.73,2025,6,2,24,4,2025-W24,0,82.88,157.93,75.05,0.475211,0.66,0.018689,0.952,315.86,0.056767,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-09-26,SKU-100061,South,KITCHEN,20.0,106.61,0,0,0,-0.97,2024,9,3,39,3,2024-W39,0,40.39,32.87,-7.52,-0.22878,0.64,0.018123,0.972,65.74,0.027664,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-07-24,SKU-100062,West,ELECTRONICS,39.0,151.7,0,1,0,-0.52,2024,7,3,30,2,2024-W30,0,96.37,130.18,33.81,0.259717,0.12,0.003398,0.949,260.36,0.066007,WH-WEST,110000,1680,1.5,1,0.0,1.0
2024-08-11,SKU-100063,East,ELECTRONICS,50.0,190.02,0,0,0,-0.41,2024,8,3,32,6,2024-W32,1,47.52,108.9,61.38,0.563636,0.08,0.002265,0.975,217.8,0.032548,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-11-08,SKU-100064,South,PET,21.0,149.51,1,0,0,0.88,2024,11,4,45,4,2024-W45,0,68.29,97.95,29.66,0.302808,0.38,0.01076,0.978,195.9,0.046774,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-11-02,SKU-100065,North,KITCHEN,44.0,154.03,0,0,0,-0.4,2024,11,4,44,5,2024-W44,1,38.64,161.51,122.87,0.760758,0.29,0.008212,0.933,323.02,0.026466,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-11-22,SKU-100066,West,KITCHEN,29.0,84.62,1,0,0,1.54,2024,11,4,47,4,2024-W47,0,30.06,129.52,99.46,0.767912,0.22,0.00623,0.931,259.04,0.020589,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-06-18,SKU-100067,North,TOYS,47.0,127.53,0,0,1,0.11,2025,6,2,25,2,2025-W25,0,119.1,158.8,39.7,0.25,0.61,0.017273,0.973,317.6,0.081575,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-12-18,SKU-100068,North,PET,50.0,151.56,1,0,0,-1.39,2024,12,4,51,2,2024-W51,0,39.01,44.01,5.0,0.113611,0.77,0.021804,0.983,88.02,0.026719,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-08-07,SKU-100069,North,ELECTRONICS,21.0,127.85,0,0,0,0.48,2024,8,3,32,2,2024-W32,0,54.03,86.74,32.71,0.377104,0.58,0.016424,0.976,173.48,0.037007,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-04-15,SKU-100070,West,PET,38.0,134.39,0,0,0,1.78,2025,4,2,16,1,2025-W16,0,119.39,197.26,77.87,0.394758,0.68,0.019256,0.987,394.52,0.081774,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-02-23,SKU-100071,West,HOME,35.0,132.89,0,0,0,-1.41,2025,2,1,8,6,2025-W08,1,85.74,189.02,103.28,0.546397,1.49,0.042192,0.954,378.04,0.058726,WH-WEST,110000,1680,1.5,1,0.0,1.0
2024-12-25,SKU-100072,East,ELECTRONICS,46.0,32.32,1,0,0,-1.28,2024,12,4,52,2,2024-W52,0,50.98,190.65,139.67,0.732599,0.55,0.015574,0.959,381.3,0.034918,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-09-12,SKU-100073,North,TOYS,50.0,166.82,0,0,0,-0.27,2024,9,3,37,3,2024-W37,0,14.98,175.66,160.68,0.914722,1.79,0.050687,0.972,351.32,0.01026,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-06-24,SKU-100074,North,TOYS,57.0,43.23,0,0,0,0.18,2025,6,2,26,1,2025-W26,0,22.32,198.29,175.97,0.887438,0.86,0.024353,0.968,396.58,0.015288,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-12-11,SKU-100075,East,BEAUTY,48.0,127.24,1,0,0,0.67,2024,12,4,50,2,2024-W50,0,61.85,78.7,16.85,0.214104,0.76,0.021521,0.931,157.4,0.042363,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-02-22,SKU-100076,West,ELECTRONICS,57.0,41.21,0,0,0,-0.47,2025,2,1,8,5,2025-W08,1,112.48,134.55,22.07,0.164028,0.33,0.009345,0.966,269.1,0.077041,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-06-04,SKU-100077,South,HOME,55.0,44.34,0,0,0,0.52,2025,6,2,23,2,2025-W23,0,118.88,33.69,-85.19,-2.528644,0.21,0.005947,0.975,67.38,0.081425,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-05-17,SKU-100078,South,ELECTRONICS,27.0,128.45,0,0,0,0.34,2025,5,2,20,5,2025-W20,1,82.88,157.93,75.05,0.475211,0.66,0.018689,0.952,315.86,0.056767,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-09-12,SKU-100079,West,KITCHEN,35.0,186.01,0,0,0,-0.27,2024,9,3,37,3,2024-W37,0,40.39,32.87,-7.52,-0.22878,0.64,0.018123,0.972,65.74,0.027664,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-05-06,SKU-100080,West,ELECTRONICS,43.0,129.1,0,0,0,-0.31,2025,5,2,19,1,2025-W19,0,96.37,130.18,33.81,0.259717,0.12,0.003398,0.949,260.36,0.066007,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-03-22,SKU-100081,North,ELECTRONICS,24.0,134.08,0,0,0,1.39,2025,3,1,12,5,2025-W12,1,47.52,108.9,61.38,0.563636,0.08,0.002265,0.975,217.8,0.032548,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-05-10,SKU-100082,North,PET,39.0,153.81,0,0,0,-1.26,2025,5,2,19,5,2025-W19,1,68.29,97.95,29.66,0.302808,0.38,0.01076,0.978,195.9,0.046774,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-10-10,SKU-100083,North,KITCHEN,35.0,146.96,0,0,0,1.67,2024,10,4,41,3,2024-W41,0,38.64,161.51,122.87,0.760758,0.29,0.008212,0.933,323.02,0.026466,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-06-05,SKU-100084,North,KITCHEN,63.0,183.65,0,0,0,1.66,2025,6,2,23,3,2025-W23,0,30.06,129.52,99.46,0.767912,0.22,0.00623,0.931,259.04,0.020589,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-05-04,SKU-100085,West,TOYS,27.0,146.65,0,0,0,0.48,2025,5,2,18,6,2025-W18,1,119.1,158.8,39.7,0.25,0.61,0.017273,0.973,317.6,0.081575,WH-WEST,110000,1680,1.5,1,0.0,1.0
2024-10-07,SKU-100086,South,PET,37.0,190.82,0,0,0,0.67,2024,10,4,41,0,2024-W41,0,39.01,44.01,5.0,0.113611,0.77,0.021804,0.983,88.02,0.026719,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-11-01,SKU-100087,South,ELECTRONICS,16.0,138.23,0,0,0,-0.95,2024,11,4,44,4,2024-W44,0,54.03,86.74,32.71,0.377104,0.58,0.016424,0.976,173.48,0.037007,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-02-01,SKU-100088,South,PET,21.0,105.25,0,0,0,0.26,2025,2,1,5,5,2025-W05,1,119.39,197.26,77.87,0.394758,0.68,0.019256,0.987,394.52,0.081774,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-11-10,SKU-100089,North,HOME,48.0,42.96,1,0,0,-0.47,2024,11,4,45,6,2024-W45,1,85.74,189.02,103.28,0.546397,1.49,0.042192,0.954,378.04,0.058726,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-08-24,SKU-100090,South,ELECTRONICS,47.0,93.96,0,0,0,-0.38,2024,8,3,34,5,2024-W34,1,50.98,190.65,139.67,0.732599,0.55,0.015574,0.959,381.3,0.034918,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-01-21,SKU-100091,South,TOYS,44.0,185.58,0,0,0,2.0,2025,1,1,4,1,2025-W04,0,14.98,175.66,160.68,0.914722,1.79,0.050687,0.972,351.32,0.01026,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-04-17,SKU-100092,South,TOYS,58.0,97.76,0,0,0,0.86,2025,4,2,16,3,2025-W16,0,22.32,198.29,175.97,0.887438,0.86,0.024353,0.968,396.58,0.015288,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-10-04,SKU-100093,East,BEAUTY,47.0,43.46,0,0,0,-1.79,2024,10,4,40,4,2024-W40,0,61.85,78.7,16.85,0.214104,0.76,0.021521,0.931,157.4,0.042363,WH-EAST,118000,1750,1.5,1,0.0,1.0
2025-06-09,SKU-100094,East,ELECTRONICS,46.0,150.63,0,0,0,0.98,2025,6,2,24,0,2025-W24,0,112.48,134.55,22.07,0.164028,0.33,0.009345,0.966,269.1,0.077041,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-12-23,SKU-100095,North,HOME,48.0,185.41,1,0,0,-0.56,2024,12,4,52,0,2024-W52,0,118.88,33.69,-85.19,-2.528644,0.21,0.005947,0.975,67.38,0.081425,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2025-06-13,SKU-100096,West,ELECTRONICS,54.0,166.3,0,0,0,0.31,2025,6,2,24,4,2025-W24,0,82.88,157.93,75.05,0.475211,0.66,0.018689,0.952,315.86,0.056767,WH-WEST,110000,1680,1.5,1,0.0,1.0
2024-11-26,SKU-100097,South,KITCHEN,21.0,109.34,1,0,0,0.37,2024,11,4,48,1,2024-W48,0,40.39,32.87,-7.52,-0.22878,0.64,0.018123,0.972,65.74,0.027664,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2024-09-28,SKU-100098,West,ELECTRONICS,39.0,31.46,0,0,0,-0.97,2024,9,3,39,5,2024-W39,1,96.37,130.18,33.81,0.259717,0.12,0.003398,0.949,260.36,0.066007,WH-WEST,110000,1680,1.5,1,0.0,1.0
2024-10-13,SKU-100099,North,ELECTRONICS,45.0,201.16,0,0,0,2.2,2024,10,4,41,6,2024-W41,1,47.52,108.9,61.38,0.563636,0.08,0.002265,0.975,217.8,0.032548,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-07-16,SKU-100100,East,PET,69.0,169.53,0,1,0,0.87,2024,7,3,29,1,2024-W29,0,68.29,97.95,29.66,0.302808,0.38,0.01076,0.978,195.9,0.046774,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-12-03,SKU-100101,West,KITCHEN,27.0,194.75,1,0,0,1.45,2024,12,4,49,1,2024-W49,0,38.64,161.51,122.87,0.760758,0.29,0.008212,0.933,323.02,0.026466,WH-WEST,110000,1680,1.5,1,0.0,1.0
2025-01-03,SKU-100102,North,KITCHEN,26.0,131.99,1,0,0,1.68,2025,1,1,1,4,2025-W01,0,30.06,129.52,99.46,0.767912,0.22,0.00623,0.931,259.04,0.020589,WH-NORTH,120000,1800,1.5,1,0.0,1.0
2024-12-23,SKU-100103,South,TOYS,33.0,163.88,1,0,0,-2.9,2024,12,4,52,0,2024-W52,0,119.1,158.8,39.7,0.25,0.61,0.017273,0.973,317.6,0.081575,WH-SOUTH,115000,1700,1.5,1,0.0,1.0
2025-06-25,SKU-100104,East,PET,41.0,148.9,0,0,0,0.18,2025,6,2,26,2,2025-W26,0,39.01,44.01,5.0,0.113611,0.77,0.021804,0.983,88.02,0.026719,WH-EAST,118000,1750,1.5,1,0.0,1.0
2024-11-22,SKU-100105,North,ELECTRONICS,53.0,42.73,1,0,0,-0.28,2024,11,4,47,4,2024-W47,0,54.03,86.74,32.71,0.377104,0.58,0.016424,0.976,173.48,0.037007,WH-NORTH,120000,1800,1.5,1,0.0,1.0
