year_week,region,category,total_units,avg_price_usd,holiday_peak_flag,prime_event_flag,marketing_push_flag,weather_disruption,year,month,quarter,week_number,week_start,avg_unit_cost_usd,avg_selling_price_usd,avg_cube_ft,avg_gross_margin_usd,avg_margin_pct,avg_holding_cost_daily,avg_stockout_penalty,avg_volume_m3,home_warehouse_id,home_wh_capacity,home_wh_fixed_cost,home_ship_cost,home_lead_time,home_distance_km,home_lane_efficiency,carbon_distance_km,carbon_weight_tonnes,carbon_kg_per_unit,lag_1_week_demand,lag_2_week_demand,lag_4_week_demand,rolling_4wk_mean,rolling_4wk_std,demand_trend,weeks_since_epoch,is_q4,region_demand_rank,category_velocity
2025-W01,East,BEAUTY,58.0,190.99,1,1,1,0.04426373626373625,2025,1,1,1,2024-12-30,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,146.0,44.0,52.0,100.0,60.332412515993425,94.0,26,0,18,0.015978
2025-W03,East,BEAUTY,132.0,106.69666666666667,1,1,1,0.03699443413729127,2025,1,1,3,2025-01-13,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,58.0,146.0,158.0,101.5,58.7962583843564,-100.0,28,0,10,0.037736
2025-W04,East,BEAUTY,193.0,98.385,1,1,1,0.1810111317254174,2025,1,1,4,2025-01-20,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,132.0,58.0,44.0,95.0,51.44576432192126,88.0,29,0,8,0.052078
2025-W05,East,BEAUTY,50.0,158.99,1,1,1,0.040238095238095246,2025,1,1,5,2025-01-27,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,193.0,132.0,146.0,132.25,55.95459468771681,47.0,30,0,20,0.010544
2025-W08,East,BEAUTY,51.0,138.715,1,0,1,0.19218923933209647,2025,2,1,8,2025-02-17,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,50.0,193.0,58.0,108.25,67.49012273412063,-8.0,33,0,19,0.013528
2025-W09,East,BEAUTY,195.0,122.375,1,0,1,0.13747835497835498,2025,3,1,9,2025-02-24,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,51.0,50.0,132.0,106.5,69.29405938943589,-81.0,34,0,8,0.053823
2025-W10,East,BEAUTY,81.0,82.59,1,0,1,0.13541743970315395,2025,3,1,10,2025-03-03,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,195.0,51.0,193.0,122.25,82.85479265960821,2.0,35,0,15,0.022683
2025-W11,East,BEAUTY,35.0,123.65,1,0,1,0.23288497217068646,2025,3,1,11,2025-03-10,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,81.0,195.0,50.0,94.25,68.68951885113188,31.0,36,0,20,0.009921
2025-W12,East,BEAUTY,114.0,178.44,1,0,1,0.11504483611626469,2025,3,1,12,2025-03-17,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,35.0,81.0,51.0,90.5,72.22880311897741,-16.0,37,0,14,0.030506
2025-W13,East,BEAUTY,43.0,138.08,1,0,1,0.21243970315398886,2025,3,1,13,2025-03-24,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,114.0,35.0,195.0,106.25,67.45554091399758,-81.0,38,0,21,0.011464
2025-W14,East,BEAUTY,46.0,190.93,1,0,1,0.07522263450834879,2025,4,2,14,2025-03-31,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,43.0,114.0,81.0,68.25,36.50913127789632,-38.0,39,0,23,0.008955
2025-W15,East,BEAUTY,60.0,106.745,1,0,1,0.2589053803339517,2025,4,2,15,2025-04-07,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,46.0,43.0,35.0,59.5,36.62876829305986,11.0,40,0,22,0.012109
2025-W16,East,BEAUTY,89.0,153.315,1,0,1,0.008316326530612253,2025,4,2,16,2025-04-14,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,60.0,46.0,114.0,65.75,33.008837200563946,-54.0,41,0,17,0.022492
2025-W18,East,BEAUTY,53.0,32.87,1,0,0,0.030640074211502773,2025,5,2,18,2025-04-28,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,89.0,60.0,43.0,59.5,21.01586702153085,46.0,43,0,21,0.012059
2025-W19,East,BEAUTY,109.0,159.425,1,0,1,0.24707792207792206,2025,5,2,19,2025-05-05,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,53.0,89.0,46.0,62.0,18.88562063228709,7.0,44,0,16,0.022354
2025-W20,East,BEAUTY,82.0,81.235,1,0,1,0.1257235621521336,2025,5,2,20,2025-05-12,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,109.0,53.0,60.0,77.75,26.017622233145516,49.0,45,0,16,0.019674
2025-W22,East,BEAUTY,99.0,142.335,1,0,1,0.1653246753246753,2025,5,2,22,2025-05-26,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,82.0,109.0,89.0,83.25,23.185843381971996,-7.0,47,0,16,0.026866
2025-W23,East,BEAUTY,123.0,161.95,1,0,1,0.1527891156462585,2025,6,2,23,2025-06-02,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,99.0,82.0,53.0,85.75,24.51360166655785,46.0,48,0,18,0.026435
2025-W24,East,BEAUTY,86.0,115.35,1,0,1,0.2516141001855287,2025,6,2,24,2025-06-09,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,123.0,99.0,109.0,103.25,17.25060385416506,14.0,49,0,15,0.019644
2025-W25,East,BEAUTY,36.0,138.54,1,0,1,0.1513450834879406,2025,6,2,25,2025-06-16,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,86.0,123.0,82.0,97.5,18.484227510682395,4.0,50,0,21,0.008627
2025-W26,East,BEAUTY,127.0020000000004,85.19,1,0,1,0.14568645640074213,2025,6,2,26,2025-06-23,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,36.0,86.0,99.0,86.0,36.687872655688295,-63.0,51,0,13,0.027371
2025-W27,East,BEAUTY,187.0020000000004,97.50999999999999,1,0,1,0.08361008039579468,2025,7,3,27,2025-06-30,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,127.0020000000004,36.0,123.0,93.0005000000001,42.24585187920833,4.002000000000393,52,0,11,0.04129
2025-W29,East,BEAUTY,43.0,193.09,1,0,1,0.11903125445982586,2025,7,3,29,2025-07-14,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,187.0020000000004,127.0020000000004,86.0,109.0010000000002,63.943683566088275,101.00200000000041,54,0,20,0.009991
2025-W30,East,BEAUTY,82.0,114.2,1,0,1,0.20013986013986013,2025,7,3,30,2025-07-21,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,43.0,187.0020000000004,36.0,98.2510000000002,72.18314670336859,7.0,55,0,17,0.025418
2025-W33,East,BEAUTY,111.0,134.21333333333334,0,0,1,0.1398506493506493,2025,8,3,33,2025-08-11,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,82.0,43.0,127.0020000000004,109.7510000000002,61.89003151827732,-45.00200000000039,58,0,14,0.03052
2025-W34,East,BEAUTY,61.0,73.58,0,0,1,0.21447330447330448,2025,8,3,34,2025-08-18,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,111.0,82.0,187.0020000000004,105.7505000000001,60.912710778074526,-76.00200000000041,59,0,16,0.018792
2025-W35,East,BEAUTY,59.0,41.41,0,0,1,0.1788210678210678,2025,8,3,35,2025-08-25,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,61.0,111.0,43.0,74.25,29.227555491350984,18.0,60,0,19,0.019472
2025-W38,East,BEAUTY,97.0,165.59,0,0,1,0.02104308390022674,2025,9,3,38,2025-09-15,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,59.0,61.0,82.0,78.25,24.18505047889435,-23.0,63,0,13,0.028947
2025-W41,East,BEAUTY,24.0,120.59,0,0,1,0.012644557823129272,2025,10,4,41,2025-10-06,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,97.0,59.0,111.0,82.0,26.05123157677325,-14.0,66,1,20,0.00955
2025-W42,East,BEAUTY,134.0,118.22999999999999,0,0,1,0.020925170068027212,2025,10,4,42,2025-10-13,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,24.0,97.0,61.0,60.25,29.814705543853147,-37.0,67,1,6,0.058979
2025-W43,East,BEAUTY,43.0,149.0,0,0,1,0.0984761904761905,2025,10,4,43,2025-10-20,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,134.0,24.0,59.0,78.5,47.514909940635135,75.0,68,1,16,0.020914
2025-W45,East,BEAUTY,71.0,176.12,0,0,0,-0.0019999999999999623,2025,11,4,45,2025-11-03,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,43.0,134.0,97.0,74.5,50.29579173913726,-54.0,70,1,9,0.04399
2025-W46,East,BEAUTY,31.0,136.51,0,0,1,0.06335714285714286,2025,11,4,46,2025-11-10,61.849999999999994,78.7,0.76,16.85,0.214104,0.042363,157.4,0.021521,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.0043042,0.13343,71.0,43.0,24.0,68.0,48.048586521006705,47.0,71,1,15,0.021986
2024-W28,East,ELECTRONICS,59.0,185.41,0,1,0,0.41,2024,7,3,28,2024-07-08,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,,,,,,,1,0,1,0.430657
2024-W29,East,ELECTRONICS,60.0,185.25,0,1,0,-0.11571428571428569,2024,7,3,29,2024-07-15,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,59.0,,,59.0,,,2,0,3,0.160858
2024-W31,East,ELECTRONICS,140.0,154.87,0,1,0,-0.042142857142857114,2024,8,3,31,2024-07-29,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,60.0,59.0,,59.5,0.7071067811865476,,4,0,1,0.214067
2024-W32,East,ELECTRONICS,160.0,133.43666666666667,0,1,1,0.1714285714285714,2024,8,3,32,2024-08-05,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,140.0,60.0,,86.33333333333333,46.47938611183815,,5,0,1,0.137694
2024-W33,East,ELECTRONICS,35.0,175.8,0,1,0,0.2013095238095238,2024,8,3,33,2024-08-12,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,160.0,140.0,59.0,104.75,52.885883434681006,101.0,6,0,8,0.042118
2024-W34,East,ELECTRONICS,61.0,187.5,0,1,1,0.21345238095238095,2024,8,3,34,2024-08-19,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,35.0,160.0,60.0,98.75,60.6045927852557,-25.0,7,0,10,0.050876
2024-W35,East,ELECTRONICS,84.0,117.705,0,1,1,0.3224047619047619,2024,9,3,35,2024-08-26,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,61.0,35.0,140.0,99.0,60.39315634517982,-79.0,8,0,3,0.074402
2024-W36,East,ELECTRONICS,75.0,133.975,0,1,1,0.2755714285714285,2024,9,3,36,2024-09-02,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,84.0,61.0,160.0,85.0,53.85783756025363,-76.0,9,0,7,0.057296
2024-W37,East,ELECTRONICS,142.0,158.4925,0,1,1,0.27178571428571424,2024,9,3,37,2024-09-09,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,75.0,84.0,35.0,63.75,21.37560915311343,40.0,10,0,6,0.074229
2024-W38,East,ELECTRONICS,152.0,62.423333333333325,0,1,1,0.22066666666666662,2024,9,3,38,2024-09-16,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,142.0,75.0,61.0,90.5,35.61366778827102,81.0,11,0,4,0.086659
2024-W39,East,ELECTRONICS,136.0,81.90666666666667,0,1,1,0.2396190476190476,2024,9,3,39,2024-09-23,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,152.0,142.0,84.0,113.25,39.35627861811463,68.0,12,0,4,0.092833
2024-W40,East,ELECTRONICS,236.0,147.702,0,1,1,0.08741496598639453,2024,9,3,40,2024-09-30,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,136.0,152.0,75.0,126.25,34.79822792423009,61.0,13,0,2,0.125934
2024-W41,East,ELECTRONICS,511.0,126.21461538461539,0,1,1,0.24972789115646257,2024,10,4,41,2024-10-07,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,236.0,136.0,142.0,166.5,46.800997140374406,94.0,14,1,1,0.216159
2024-W42,East,ELECTRONICS,257.0,118.88200000000002,0,1,1,0.023282312925170034,2024,10,4,42,2024-10-14,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,511.0,236.0,152.0,258.75,173.79178154715297,359.0,15,1,1,0.126539
2024-W43,East,ELECTRONICS,170.0,135.825,0,1,1,0.23497448979591834,2024,10,4,43,2024-10-21,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,257.0,511.0,136.0,285.0,159.64752842851448,121.0,16,1,3,0.084451
2024-W44,East,ELECTRONICS,407.0,116.33888888888889,0,1,1,0.11890873015873019,2024,10,4,44,2024-10-28,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,170.0,257.0,236.0,293.5,149.6629546681476,-66.0,17,1,1,0.153411
2024-W45,East,ELECTRONICS,149.0,60.52,1,1,1,0.245578231292517,2024,11,4,45,2024-11-04,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,407.0,170.0,511.0,336.25,152.16520627265618,-104.0,18,1,8,0.060966
2024-W46,East,ELECTRONICS,66.0,156.315,1,1,0,0.1418820861678005,2024,11,4,46,2024-11-11,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,149.0,407.0,257.0,245.75,117.22734322674043,-108.0,19,1,14,0.025133
2024-W47,East,ELECTRONICS,368.0,112.18875,1,1,1,0.23024999999999998,2024,11,4,47,2024-11-18,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,66.0,149.0,170.0,198.0,146.38989036132244,-104.0,20,1,1,0.139447
2024-W48,East,ELECTRONICS,22.0,156.39,1,1,1,0.17051298701298706,2024,11,4,48,2024-11-25,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,368.0,66.0,407.0,247.5,165.93673493232293,-39.0,21,1,19,0.009795
2024-W49,East,ELECTRONICS,330.0,114.48500000000001,1,1,1,0.23797979797979796,2024,12,4,49,2024-12-02,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,22.0,368.0,149.0,151.25,153.79504760123675,-127.0,22,1,1,0.100365
2024-W50,East,ELECTRONICS,201.0,140.34,1,1,1,0.17953463203463202,2024,12,4,50,2024-12-09,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,330.0,22.0,66.0,196.5,177.6841767481468,264.0,23,1,4,0.06955
2024-W51,East,ELECTRONICS,39.0,124.51,1,1,1,0.08586507936507935,2024,12,4,51,2024-12-16,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,201.0,330.0,368.0,230.25,156.15030152601906,-167.0,24,1,21,0.013603
2024-W52,East,ELECTRONICS,345.0,113.624,1,1,1,0.1892380952380952,2024,12,4,52,2024-12-23,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,39.0,201.0,22.0,148.0,145.705181788432,17.0,25,1,1,0.121865
2025-W01,East,ELECTRONICS,208.0,129.156,1,1,1,0.04426373626373625,2025,1,1,1,2024-12-30,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,345.0,39.0,330.0,228.75,142.05720678656192,15.0,26,0,7,0.0573
2025-W02,East,ELECTRONICS,370.0,119.81666666666666,1,1,1,0.24195304695304692,2025,1,1,2,2025-01-06,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,208.0,345.0,201.0,198.25,125.1648912435113,7.0,27,0,3,0.096204
2025-W03,East,ELECTRONICS,443.0,108.14181818181818,1,1,1,0.03699443413729127,2025,1,1,3,2025-01-13,74.05533893221356,134.85384523095382,0.3865506898620276,60.79850629874025,0.42874679424115175,0.05072288962207558,269.70769046190765,0.010945882423515296,WH-EAST,118000,1750,1.5,1,500,1.0,500,0.002189176484703059,0.067864,370.0,208.0,39.0,240.5,152.0405647626098,331.0,28,0,2,0.126644
