canonical_warehouse_id,sku_id,starting_inventory_units,inventory_value_usd,daily_holding_cost_usd
WH-CENTRAL,SKU-100706,510,57364.8,39.2909
WH-CENTRAL,SKU-100707,1372,163103.36,111.7151
WH-CENTRAL,SKU-100713,1287,49729.68,34.0617
WH-CENTRAL,SKU-100725,1462,173802.56,119.0434
WH-CENTRAL,SKU-100728,2917,281111.29,192.5424
WH-CENTRAL,SKU-100734,1923,75016.23,51.3806
WH-CENTRAL,SKU-100736,1232,147088.48,100.7456
WH-CENTRAL,SKU-100745,646,26091.94,17.8709
WH-CENTRAL,SKU-100746,1224,117956.88,80.7926
WH-CENTRAL,SKU-100748,2832,193397.28,132.464
WH-CENTRAL,SKU-100762,1131,93737.28,64.2035
WH-CENTRAL,SKU-100772,1950,232810.5,159.4593
WH-CENTRAL,SKU-100777,585,36182.25,24.7824
WH-CENTRAL,SKU-100788,1615,63001.15,43.1512
WH-CENTRAL,SKU-100798,797,66055.36,45.2433
WH-CENTRAL,SKU-100799,1875,75731.25,51.87
WH-CENTRAL,SKU-100811,2210,33105.8,22.6746
WH-CENTRAL,SKU-100812,2006,44773.92,30.6677
WH-CENTRAL,SKU-100814,2483,279287.84,191.2928
WH-CENTRAL,SKU-100820,1953,133370.37,91.3496
WH-CENTRAL,SKU-100829,2935,43966.3,30.1131
WH-CENTRAL,SKU-100834,1602,132773.76,90.9407
WH-CENTRAL,SKU-100842,2237,87265.37,59.7704
WH-CENTRAL,SKU-100856,1842,125790.18,86.1577
WH-CENTRAL,SKU-100857,1172,45286.08,31.0182
WH-CENTRAL,SKU-100858,888,26693.28,18.283
WH-CENTRAL,SKU-100861,1626,87852.78,60.1734
WH-CENTRAL,SKU-100863,616,52815.84,36.1752
WH-CENTRAL,SKU-100865,2436,36491.28,24.9934
WH-CENTRAL,SKU-100866,1537,34305.84,23.4977
WH-CENTRAL,SKU-100868,734,82560.32,56.5481
WH-CENTRAL,SKU-100869,1460,173564.8,118.8805
WH-CENTRAL,SKU-100872,2942,283520.54,194.1926
WH-CENTRAL,SKU-100877,1780,211998.0,145.2035
WH-CENTRAL,SKU-100894,661,19869.66,13.6093
WH-CENTRAL,SKU-100900,2115,107822.7,73.8516
WH-CENTRAL,SKU-100901,2210,33105.8,22.6746
WH-CENTRAL,SKU-100903,2669,165077.65,113.0668
WH-CENTRAL,SKU-100913,1586,188892.6,129.378
WH-CENTRAL,SKU-100914,1923,75016.23,51.3806
WH-CENTRAL,SKU-100922,2646,297622.08,203.8505
WH-CENTRAL,SKU-100927,872,41437.44,28.3819
WH-CENTRAL,SKU-100928,2832,193397.28,132.464
WH-CENTRAL,SKU-100929,2958,114297.12,78.2864
WH-CENTRAL,SKU-100937,2561,38363.78,26.2759
WH-CENTRAL,SKU-100940,1339,150610.72,103.1579
WH-CENTRAL,SKU-100964,2579,176119.91,120.6301
WH-CENTRAL,SKU-100969,862,46573.86,31.9
WH-CENTRAL,SKU-100978,797,66055.36,45.2433
WH-CENTRAL,SKU-100981,2084,99031.68,67.83
WH-CENTRAL,SKU-100982,2102,143545.58,98.3189
WH-CENTRAL,SKU-100984,661,19869.66,13.6093
WH-CENTRAL,SKU-100986,968,37761.68,25.864
WH-CENTRAL,SKU-100988,534,63754.26,43.6673
WH-CENTRAL,SKU-100994,2483,279287.84,191.2928
WH-CENTRAL,SKU-100995,1462,173802.56,119.0434
WH-CENTRAL,SKU-100998,2917,281111.29,192.5424
WH-CENTRAL,SKU-101003,1586,188892.6,129.378
WH-CENTRAL,SKU-101010,1494,33346.08,22.8403
WH-CENTRAL,SKU-101012,2646,297622.08,203.8505
WH-CENTRAL,SKU-101022,2237,87265.37,59.7704
WH-CENTRAL,SKU-101030,1339,150610.72,103.1579
WH-CENTRAL,SKU-101035,965,45856.8,31.4088
WH-CENTRAL,SKU-101039,2816,335385.6,229.7152
WH-CENTRAL,SKU-101041,1626,87852.78,60.1734
WH-CENTRAL,SKU-101045,2436,36491.28,24.9934
WH-CENTRAL,SKU-101056,566,17013.96,11.6534
WH-CENTRAL,SKU-101058,1615,63001.15,43.1512
WH-CENTRAL,SKU-101066,510,57364.8,39.2909
WH-CENTRAL,SKU-101069,1875,75731.25,51.87
WH-CENTRAL,SKU-101070,1588,153035.56,104.8191
WH-CENTRAL,SKU-101073,1287,49729.68,34.0617
WH-CENTRAL,SKU-101079,790,67734.6,46.3935
WH-CENTRAL,SKU-101081,2210,33105.8,22.6746
WH-CENTRAL,SKU-101092,898,26993.88,18.4889
WH-CENTRAL,SKU-101094,1923,75016.23,51.3806
WH-CENTRAL,SKU-101096,1232,147088.48,100.7456
WH-CENTRAL,SKU-101099,2935,43966.3,30.1131
WH-CENTRAL,SKU-101111,970,115527.0,79.1277
WH-CENTRAL,SKU-101117,2561,38363.78,26.2759
WH-CENTRAL,SKU-101118,2959,66044.88,45.2372
WH-CENTRAL,SKU-101119,2822,174540.7,119.5484
WH-CENTRAL,SKU-101134,2624,133771.52,91.6248
WH-CENTRAL,SKU-101149,862,46573.86,31.9
WH-CENTRAL,SKU-101158,797,66055.36,45.2433
WH-CENTRAL,SKU-101160,1588,153035.56,104.8191
WH-CENTRAL,SKU-101162,2102,143545.58,98.3189
WH-CENTRAL,SKU-101173,2669,165077.65,113.0668
WH-CENTRAL,SKU-101180,1953,133370.37,91.3496
WH-CENTRAL,SKU-101184,1923,75016.23,51.3806
WH-CENTRAL,SKU-101187,2315,198488.1,135.9507
WH-CENTRAL,SKU-101189,2935,43966.3,30.1131
WH-CENTRAL,SKU-101213,2251,90917.89,62.2717
WH-CENTRAL,SKU-101220,2892,112816.92,77.2713
WH-CENTRAL,SKU-101221,1626,87852.78,60.1734
WH-CENTRAL,SKU-101231,1894,76498.66,52.3956
WH-CENTRAL,SKU-101235,592,22874.88,15.6679
WH-CENTRAL,SKU-101241,740,63447.6,43.4572
WH-CENTRAL,SKU-101245,1353,83683.05,57.3171
WH-CENTRAL,SKU-101249,1875,75731.25,51.87
WH-CENTRAL,SKU-101275,2932,158415.96,108.5045
WH-CENTRAL,SKU-101276,1232,147088.48,100.7456
WH-CENTRAL,SKU-101279,2935,43966.3,30.1131
WH-CENTRAL,SKU-101280,1494,33346.08,22.8403
WH-CENTRAL,SKU-101283,2638,313605.44,214.7992
WH-CENTRAL,SKU-101291,970,115527.0,79.1277
WH-CENTRAL,SKU-101295,1382,118492.68,81.1593
WH-CENTRAL,SKU-101298,2959,66044.88,45.2372
WH-CENTRAL,SKU-101305,965,45856.8,31.4088
WH-CENTRAL,SKU-101315,2436,36491.28,24.9934
WH-CENTRAL,SKU-101319,1460,173564.8,118.8805
WH-CENTRAL,SKU-101326,566,17013.96,11.6534
WH-CENTRAL,SKU-101328,1615,63001.15,43.1512
WH-CENTRAL,SKU-101337,1372,163103.36,111.7151
WH-CENTRAL,SKU-101339,1875,75731.25,51.87
WH-CENTRAL,SKU-101348,534,63754.26,43.6673
WH-CENTRAL,SKU-101356,1960,162444.8,111.2633
WH-CENTRAL,SKU-101360,1953,133370.37,91.3496
WH-CENTRAL,SKU-101366,1232,147088.48,100.7456
WH-CENTRAL,SKU-101378,2832,193397.28,132.464
WH-CENTRAL,SKU-101388,2959,66044.88,45.2372
WH-CENTRAL,SKU-101395,965,45856.8,31.4088
WH-CENTRAL,SKU-101401,1626,87852.78,60.1734
WH-CENTRAL,SKU-101405,2436,36491.28,24.9934
WH-CENTRAL,SKU-101415,592,22874.88,15.6679
WH-CENTRAL,SKU-101417,1780,211998.0,145.2035
WH-CENTRAL,SKU-101418,1615,63001.15,43.1512
WH-CENTRAL,SKU-101422,2016,102775.68,70.3947
WH-CENTRAL,SKU-101425,1353,83683.05,57.3171
WH-CENTRAL,SKU-101430,1588,153035.56,104.8191
WH-CENTRAL,SKU-101435,2627,312875.7,214.2975
WH-CENTRAL,SKU-101439,790,67734.6,46.3935
WH-CENTRAL,SKU-101451,1068,41267.52,28.2657
WH-CENTRAL,SKU-101457,2315,198488.1,135.9507
WH-CENTRAL,SKU-101458,822,41905.56,28.7026
WH-CENTRAL,SKU-101459,2935,43966.3,30.1131
WH-CENTRAL,SKU-101472,2237,87265.37,59.7704
WH-CENTRAL,SKU-101488,888,26693.28,18.283
WH-CENTRAL,SKU-101489,2816,335385.6,229.7152
WH-CENTRAL,SKU-101493,616,52815.84,36.1752
WH-CENTRAL,SKU-101497,585,36182.25,24.7824
WH-CENTRAL,SKU-101503,920,43718.4,29.9442
WH-CENTRAL,SKU-101505,592,22874.88,15.6679
WH-CENTRAL,SKU-101517,1372,163103.36,111.7151
WH-CENTRAL,SKU-101522,2102,143545.58,98.3189
WH-CENTRAL,SKU-101525,2627,312875.7,214.2975
WH-CENTRAL,SKU-101535,1462,173802.56,119.0434
WH-CENTRAL,SKU-101536,1960,162444.8,111.2633
WH-CENTRAL,SKU-101538,2917,281111.29,192.5424
WH-CENTRAL,SKU-101539,2079,98794.08,67.6673
WH-CENTRAL,SKU-101540,1953,133370.37,91.3496
WH-CENTRAL,SKU-101542,898,26993.88,18.4889
WH-CENTRAL,SKU-101544,1923,75016.23,51.3806
WH-CENTRAL,SKU-101547,2315,198488.1,135.9507
WH-CENTRAL,SKU-101553,2638,313605.44,214.7992
WH-CENTRAL,SKU-101564,2477,295729.03,202.5542
WH-CENTRAL,SKU-101569,2822,174540.7,119.5484
WH-CENTRAL,SKU-101579,2816,335385.6,229.7152
WH-CENTRAL,SKU-101586,1537,34305.84,23.4977
WH-CENTRAL,SKU-101587,585,36182.25,24.7824
WH-CENTRAL,SKU-101591,1894,76498.66,52.3956
WH-CENTRAL,SKU-101592,2942,283520.54,194.1926
WH-CENTRAL,SKU-101608,797,66055.36,45.2433
WH-CENTRAL,SKU-101615,2627,312875.7,214.2975
WH-CENTRAL,SKU-101616,968,37761.68,25.864
WH-CENTRAL,SKU-101635,2932,158415.96,108.5045
WH-CENTRAL,SKU-101638,822,41905.56,28.7026
WH-CENTRAL,SKU-101642,2646,297622.08,203.8505
WH-CENTRAL,SKU-101643,2638,313605.44,214.7992
WH-CENTRAL,SKU-101648,2832,193397.28,132.464
WH-CENTRAL,SKU-101651,970,115527.0,79.1277
WH-CENTRAL,SKU-101667,1172,45286.08,31.0182
WH-CENTRAL,SKU-101674,2624,133771.52,91.6248
WH-CENTRAL,SKU-101677,585,36182.25,24.7824
WH-CENTRAL,SKU-101680,2488,206205.44,141.2363
WH-CENTRAL,SKU-101684,2579,176119.91,120.6301
WH-CENTRAL,SKU-101701,2084,99031.68,67.83
WH-CENTRAL,SKU-101704,661,19869.66,13.6093
WH-CENTRAL,SKU-101705,2627,312875.7,214.2975
WH-CENTRAL,SKU-101712,2006,44773.92,30.6677
WH-CENTRAL,SKU-101715,1462,173802.56,119.0434
WH-CENTRAL,SKU-101725,2932,158415.96,108.5045
WH-CENTRAL,SKU-101728,822,41905.56,28.7026
WH-CENTRAL,SKU-101733,2638,313605.44,214.7992
WH-CENTRAL,SKU-101734,1602,132773.76,90.9407
WH-CENTRAL,SKU-101736,1224,117956.88,80.7926
WH-CENTRAL,SKU-101739,2958,114297.12,78.2864
WH-CENTRAL,SKU-101742,2237,87265.37,59.7704
WH-CENTRAL,SKU-101745,1382,118492.68,81.1593
WH-CENTRAL,SKU-101747,2561,38363.78,26.2759
WH-CENTRAL,SKU-101752,1131,93737.28,64.2035
WH-CENTRAL,SKU-101773,920,43718.4,29.9442
WH-CENTRAL,SKU-101777,1780,211998.0,145.2035
WH-CENTRAL,SKU-101779,862,46573.86,31.9
WH-CENTRAL,SKU-101781,740,63447.6,43.4572
WH-CENTRAL,SKU-101783,1425,21346.5,14.6205
WH-CENTRAL,SKU-101788,797,66055.36,45.2433
WH-CENTRAL,SKU-101794,661,19869.66,13.6093
WH-CENTRAL,SKU-101795,2627,312875.7,214.2975
WH-CENTRAL,SKU-101801,2210,33105.8,22.6746
WH-CENTRAL,SKU-101803,2669,165077.65,113.0668
WH-CENTRAL,SKU-101804,2483,279287.84,191.2928
WH-CENTRAL,SKU-101807,2851,115151.89,78.8701
WH-CENTRAL,SKU-101816,1232,147088.48,100.7456
WH-CENTRAL,SKU-101818,822,41905.56,28.7026
WH-CENTRAL,SKU-101824,1602,132773.76,90.9407
WH-CENTRAL,SKU-101826,1224,117956.88,80.7926
WH-CENTRAL,SKU-101829,2958,114297.12,78.2864
WH-CENTRAL,SKU-101842,1131,93737.28,64.2035
WH-CENTRAL,SKU-101845,965,45856.8,31.4088
WH-CENTRAL,SKU-101851,1626,87852.78,60.1734
WH-CENTRAL,SKU-101853,616,52815.84,36.1752
WH-CENTRAL,SKU-101865,592,22874.88,15.6679
WH-CENTRAL,SKU-101866,566,17013.96,11.6534
WH-CENTRAL,SKU-101869,862,46573.86,31.9
WH-CENTRAL,SKU-101873,1425,21346.5,14.6205
WH-CENTRAL,SKU-101874,801,17878.32,12.2457
WH-CENTRAL,SKU-101877,1372,163103.36,111.7151
WH-CENTRAL,SKU-101892,2006,44773.92,30.6677
WH-CENTRAL,SKU-101894,2483,279287.84,191.2928
WH-CENTRAL,SKU-101906,1232,147088.48,100.7456
WH-CENTRAL,SKU-101915,646,26091.94,17.8709
WH-CENTRAL,SKU-101916,1224,117956.88,80.7926
WH-CENTRAL,SKU-101928,2959,66044.88,45.2372
WH-CENTRAL,SKU-101935,965,45856.8,31.4088
WH-CENTRAL,SKU-101939,2816,335385.6,229.7152
WH-CENTRAL,SKU-101943,616,52815.84,36.1752
WH-CENTRAL,SKU-101950,2488,206205.44,141.2363
WH-CENTRAL,SKU-101953,920,43718.4,29.9442
WH-CENTRAL,SKU-101954,2579,176119.91,120.6301
WH-CENTRAL,SKU-101959,862,46573.86,31.9
WH-CENTRAL,SKU-101961,740,63447.6,43.4572
WH-CENTRAL,SKU-101963,1425,21346.5,14.6205
WH-CENTRAL,SKU-101968,797,66055.36,45.2433
WH-CENTRAL,SKU-101969,1875,75731.25,51.87
WH-CENTRAL,SKU-101973,1287,49729.68,34.0617
WH-CENTRAL,SKU-101974,661,19869.66,13.6093
WH-CENTRAL,SKU-101975,2627,312875.7,214.2975
WH-CENTRAL,SKU-101976,968,37761.68,25.864
WH-CENTRAL,SKU-101977,2448,132265.44,90.5931
WH-CENTRAL,SKU-101982,2006,44773.92,30.6677
WH-CENTRAL,SKU-101985,1462,173802.56,119.0434
WH-CENTRAL,SKU-101992,898,26993.88,18.4889
WH-CENTRAL,SKU-101993,1586,188892.6,129.378
WH-CENTRAL,SKU-101996,1232,147088.48,100.7456
WH-CENTRAL,SKU-102003,2638,313605.44,214.7992
WH-CENTRAL,SKU-102010,2629,79027.74,54.1285
WH-CENTRAL,SKU-102011,970,115527.0,79.1277
WH-CENTRAL,SKU-102013,2593,140099.79,95.9592
WH-CENTRAL,SKU-102018,2959,66044.88,45.2372
WH-CENTRAL,SKU-102022,1131,93737.28,64.2035
WH-CENTRAL,SKU-102024,2189,210953.93,144.4893
WH-CENTRAL,SKU-102029,2816,335385.6,229.7152
WH-CENTRAL,SKU-102033,616,52815.84,36.1752
WH-CENTRAL,SKU-102043,920,43718.4,29.9442
WH-CENTRAL,SKU-102046,566,17013.96,11.6534
WH-CENTRAL,SKU-102047,1780,211998.0,145.2035
WH-CENTRAL,SKU-102049,862,46573.86,31.9
WH-CENTRAL,SKU-102066,968,37761.68,25.864
WH-CENTRAL,SKU-102072,2006,44773.92,30.6677
WH-CENTRAL,SKU-102075,1462,173802.56,119.0434
WH-CENTRAL,SKU-102076,1960,162444.8,111.2633
WH-CENTRAL,SKU-102086,1232,147088.48,100.7456
WH-CENTRAL,SKU-102098,2832,193397.28,132.464
WH-CENTRAL,SKU-102100,2629,79027.74,54.1285
WH-CENTRAL,SKU-102111,1256,149313.28,102.2698
WH-CENTRAL,SKU-102114,2189,210953.93,144.4893
WH-CENTRAL,SKU-102131,1894,76498.66,52.3956
WH-CENTRAL,SKU-102132,2942,283520.54,194.1926
WH-CENTRAL,SKU-102136,566,17013.96,11.6534
WH-CENTRAL,SKU-102138,1615,63001.15,43.1512
WH-CENTRAL,SKU-102140,2807,335127.73,229.5396
WH-CENTRAL,SKU-102144,801,17878.32,12.2457
WH-CENTRAL,SKU-102149,1875,75731.25,51.87
WH-CENTRAL,SKU-102150,1588,153035.56,104.8191
WH-CENTRAL,SKU-102151,2084,99031.68,67.83
WH-CENTRAL,SKU-102153,1287,49729.68,34.0617
WH-CENTRAL,SKU-102162,2006,44773.92,30.6677
WH-CENTRAL,SKU-102166,1960,162444.8,111.2633
WH-CENTRAL,SKU-102169,2079,98794.08,67.6673
WH-CENTRAL,SKU-102178,822,41905.56,28.7026
WH-CENTRAL,SKU-102188,2832,193397.28,132.464
WH-CENTRAL,SKU-102193,2593,140099.79,95.9592
WH-CENTRAL,SKU-102195,1382,118492.68,81.1593
WH-CENTRAL,SKU-102197,2561,38363.78,26.2759
WH-CENTRAL,SKU-102199,2822,174540.7,119.5484
WH-CENTRAL,SKU-102201,1256,149313.28,102.2698
WH-CENTRAL,SKU-102211,1626,87852.78,60.1734
WH-CENTRAL,SKU-102221,1894,76498.66,52.3956
WH-CENTRAL,SKU-102222,2942,283520.54,194.1926
WH-CENTRAL,SKU-102223,920,43718.4,29.9442
WH-CENTRAL,SKU-102228,1615,63001.15,43.1512
WH-CENTRAL,SKU-102229,862,46573.86,31.9
WH-CENTRAL,SKU-102240,1588,153035.56,104.8191
WH-CENTRAL,SKU-102245,2627,312875.7,214.2975
WH-CENTRAL,SKU-102253,2669,165077.65,113.0668
WH-CENTRAL,SKU-102256,1960,162444.8,111.2633
WH-CENTRAL,SKU-102257,2851,115151.89,78.8701
WH-CENTRAL,SKU-102259,2079,98794.08,67.6673
WH-CENTRAL,SKU-102260,1953,133370.37,91.3496
WH-CENTRAL,SKU-102261,1068,41267.52,28.2657
WH-CENTRAL,SKU-102267,2315,198488.1,135.9507
WH-CENTRAL,SKU-102277,872,41437.44,28.3819
WH-CENTRAL,SKU-102283,2593,140099.79,95.9592
WH-CENTRAL,SKU-102286,2401,122402.98,83.8381
WH-CENTRAL,SKU-102292,1131,93737.28,64.2035
WH-CENTRAL,SKU-102293,2251,90917.89,62.2717
WH-CENTRAL,SKU-102299,2816,335385.6,229.7152
WH-CENTRAL,SKU-102320,2807,335127.73,229.5396
WH-CENTRAL,SKU-102326,510,57364.8,39.2909
WH-CENTRAL,SKU-102328,797,66055.36,45.2433
WH-CENTRAL,SKU-102334,661,19869.66,13.6093
WH-CENTRAL,SKU-102338,534,63754.26,43.6673
WH-CENTRAL,SKU-102348,2917,281111.29,192.5424
WH-CENTRAL,SKU-102349,2079,98794.08,67.6673
WH-CENTRAL,SKU-102352,898,26993.88,18.4889
WH-CENTRAL,SKU-102356,1232,147088.48,100.7456
WH-CENTRAL,SKU-102368,2832,193397.28,132.464
WH-CENTRAL,SKU-102382,1131,93737.28,64.2035
WH-CENTRAL,SKU-102386,1842,125790.18,86.1577
WH-CENTRAL,SKU-102389,2816,335385.6,229.7152
WH-CENTRAL,SKU-102391,1626,87852.78,60.1734
WH-CENTRAL,SKU-102392,1950,232810.5,159.4593
WH-CENTRAL,SKU-102403,920,43718.4,29.9442
